location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Wakad, Pune, Maharashtra",Maruti Suzuki,Swift,VDI BS IV,2016,"93,000 km",Diesel,Manual,Grey,2nd,MH,Third Party,"₹ 5,75,000"
"Kala Darwaza, Aurangabad, Maharashtra",Skoda,Rapid,1.5 TDI AT Ambition,2016,"58,300 km",Diesel,Automatic,Brown,2nd,MH,Third Party,"₹ 6,75,000"
"Naupada, Thane, Maharashtra",Toyota,Innova,2.0 VX 7 STR BS-IV,2011,"97,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 4,50,000"
"Mumbai Naka, Nashik, Maharashtra",Maruti Suzuki,Baleno,Zeta,2016,"82,726 km",Diesel,Manual,Grey,1st,MH,No Insurance,"₹ 6,90,000"
"Ulhasnagar, Thane, Maharashtra",Hyundai,i10,1.2 Kappa Magna,2012,"18,000 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 2,70,000"
"Teen Hath Naka, Thane, Maharashtra",Mahindra,XUV500,W10 2WD,2017,"44,000 km",Diesel,Manual,Grey,1st,MH,Comprehensive,"₹ 14,25,000"
"Nagpur GPO, Nagpur, Maharashtra",Maruti Suzuki,Swift Dzire,Vdi BSIV,2018,"50,000 km",Diesel,Manual,Blue,2nd,MH,No Insurance,"₹ 7,35,000"
"C.P. Tank, Mumbai, Maharashtra",Maruti Suzuki,Swift Dzire,ZDI Plus,2018,"65,000 km",Diesel,Manual,Gold,2nd,MH,Comprehensive,"₹ 8,49,000"
"Borivali West, Mumbai, Maharashtra",Maruti Suzuki,Ertiga,SHVS ZDI,2013,"69,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 6,25,000"
"Ulhasnagar, Thane, Maharashtra",Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2018,"47,000 km",CNG & Hybrids,Manual,Grey,1st,MH,Comprehensive,"₹ 4,80,000"
"Viman Nagar, Pune, Maharashtra",Mahindra,Bolero,LX BSIV,2014,"122,000 km",Diesel,Manual,Silver,2nd,MH,Third Party,"₹ 5,00,000"
"Ulhasnagar, Thane, Maharashtra",Maruti Suzuki,Baleno,1.2 Zeta,2019,"18,000 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 6,90,000"
"Vasai East, Mumbai, Maharashtra",Maruti Suzuki,Alto 800,LXI,2013,"85,000 km",Petrol,Manual,White,1st,MH,Comprehensive,"₹ 2,35,000"
"Borivali West, Mumbai, Maharashtra",Skoda,Rapid,1.5 TDI Ambition,2014,"42,000 km",Diesel,Manual,Silver,1st,ML,Third Party,"₹ 4,50,000"
"Antop Hill, Mumbai, Maharashtra",Hyundai,i20,1.2 Asta Option,2019,"7,000 km",Petrol,Automatic,Bordeaux/Maroon,1st,MH,No Insurance,"₹ 9,10,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Nandur Naka, Nashik, Maharashtra",Honda,Mobilio,S i-DTEC,2014,"85,500 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 5,50,000"
"Gorewada Road, Nagpur, Maharashtra",Maruti Suzuki,Swift Dzire,1.2 ZXi BSIV,2009,"89,000 km",Petrol,Manual,Red,2nd,MH,No Insurance,"₹ 2,75,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Pune Vidyapith, Pune, Maharashtra",Maruti Suzuki,Swift,VDI,2011,"99,000 km",Diesel,Manual,Grey,1st,MH,No Insurance,"₹ 3,50,000"
"Mulund East, Mumbai, Maharashtra",Maruti Suzuki,Vitara Brezza,ZDi Plus,2018,"48,000 km",Diesel,Manual,White,2nd,MH,Comprehensive,"₹ 9,00,000"
"Vashi, Navi Mumbai, Maharashtra",Maruti Suzuki,Celerio,2014-2017 VXI,2017,"40,000 km",CNG & Hybrids,Manual,White,1st,MH,Comprehensive,"₹ 4,80,786"
"Andheri East, Mumbai, Maharashtra",Mahindra,TUV 300,T10,2018,"20,000 km",Diesel,Manual,Silver,1st,MH,Comprehensive,"₹ 8,65,000"
"Late JK Rajendra Chovhan Chowk, Nashik, Maharashtra",Hyundai,i20,1.4 Asta,2014,"30,000 km",Petrol,Manual,White,1st,MH,Third Party,"₹ 4,55,000"
"Lower Parel, Mumbai, Maharashtra",Volkswagen,Polo,1.2 MPI Comfortline,2019,"9,100 km",Petrol,Manual,Silver,1st,MH,No Insurance,"₹ 5,85,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Sardar Patel Chowk, Nagpur, Maharashtra",Hyundai,i10,Magna,2010,"64,000 km",Petrol,Manual,White,1st,MH,Third Party,"₹ 2,50,000"
"Andheri West, Mumbai, Maharashtra",BMW,3 Series,320d Luxury Line,2017,"17,001 km",Diesel,Automatic,Blue,1st,MH,Zero Dep,"₹ 24,00,000"
"Kalyan, Thane, Maharashtra",Volkswagen,Vento,1.6 Highline,2014,"67,000 km",Petrol,Automatic,Black,1st,MH,Comprehensive,"₹ 5,45,000"
"Viman Nagar, Pune, Maharashtra",Mahindra,Scorpio,2009-2014 VLX 2WD AIRBAG BSIII,2009,"71,000 km",Diesel,Manual,Black,2nd,MH,Comprehensive,"₹ 3,69,999"
"Bajaj Nagar, Nagpur, Maharashtra",Maruti Suzuki,Omni,8 Seater BSII,2002,"66,000 km",Petrol,Manual,Blue,4th,MH,Third Party,"₹ 65,000"
"Colaba, Mumbai, Maharashtra",Toyota,Innova,2.5 GX (Diesel) 8 Seater,2014,"142,000 km",Diesel,Manual,Silver,2nd,MH,Comprehensive,"₹ 8,75,000"
"Viman Nagar, Pune, Maharashtra",Honda,Amaze,2013-2016 EX i-Dtech,2013,"92,000 km",Diesel,Manual,White,1st,MH,Third Party,"₹ 3,90,000"
"Vashi, Navi Mumbai, Maharashtra",BMW,5 Series,530i Sport Line,2017,"22,000 km",Petrol,Automatic,Blue,1st,MH,Comprehensive,"₹ 43,75,000"
"Hinglaj Nagar, Nashik, Maharashtra",Volkswagen,Tiguan,2.0 TDI Comfortline,2018,"72,000 km",Diesel,Automatic,Blue,1st,MH,Not Available,"₹ 25,00,000"
"Rasta Peth, Pune, Maharashtra",Maruti Suzuki,Alto K10,VXI AMT,2016,"55,218 km",Petrol,Automatic,White,1st,MH,Comprehensive,"₹ 3,50,000"
"Senapati Bapat Road, Pune, Maharashtra",Mercedes-Benz,B Class,B200 CDI Sport,2015,"52,000 km",Diesel,Automatic,Silver,1st,MH,Not Available,"₹ 16,50,000"
"Bhosari, Pune, Maharashtra",Toyota,Etios,2010-2012 V,2011.0,"66,173 km",Petrol,Manual,Blue,3rd,MH,No Insurance,"₹ 3,50,000"
"Padmavati, Pune, Maharashtra",Maruti Suzuki,Ritz,VXi,2014,"76,000 km",Petrol,Manual,White,1st,Not Available,Not Available,"₹ 3,85,000"
"Dahisar East, Mumbai, Maharashtra",Mahindra,Xylo,2009-2011 E4,2009,"87,000 km",Diesel,Manual,Gold,2nd,MH,Third Party,"₹ 1,99,000"
"Dahisar East, Mumbai, Maharashtra",Toyota,Fortuner,2009-2011 3.0 Diesel,2010,"98,000 km",Diesel,Manual,Grey,1st,MH,Third Party,"₹ 8,35,000"
"Ulhasnagar, Thane, Maharashtra",Maruti Suzuki,Alto 800,2012-2016 LXI,2016,"41,000 km",Petrol,Manual,White,1st,MH,Third Party,"₹ 2,70,000"
"Viman Nagar, Pune, Maharashtra",Volkswagen,Vento,1.2 TSI Highline AT,2014,"56,000 km",Petrol,Automatic,Black,1st,MH,Comprehensive,"₹ 4,75,000"
"Wakad, Pune, Maharashtra",Toyota,Innova,2.5 GX (Diesel) 7 Seater BS IV,2015,"95,000 km",Diesel,Manual,Champagne,2nd,MH,Third Party,"₹ 10,50,000"
"Malad West, Mumbai, Maharashtra",Volkswagen,Ameo,1.2 MPI Comfortline,2017,"18,000 km",Petrol,Manual,Brown,2nd,MH,Comprehensive,"₹ 5,35,000"
"Lower Parel, Mumbai, Maharashtra",Renault,Lodgy,85PS RxL,2015,"58,100 km",Diesel,Manual,Silver,1st,MH,No Insurance,"₹ 4,85,000"
"Andheri East, Mumbai, Maharashtra",Mitsubishi,Pajero,2002-2012 2.8 SFX,2010,"200,000 km",Diesel,Manual,Blue,1st,MH,Comprehensive,"₹ 7,25,000"
"Borivali West, Mumbai, Maharashtra",Toyota,Innova,2.5 VX 7 STR,2010,"143,000 km",Diesel,Manual,Gold,2nd,MH,No Insurance,"₹ 5,50,000"
"Padmadarshan Society Satara Road, Pune, Maharashtra",Toyota,Innova,2.5 V 8 STR,2008,"161,000 km",Diesel,Manual,Bordeaux/Maroon,1st,MH,Third Party,"₹ 4,99,999"
"Friends Colony, Nagpur, Maharashtra",Volkswagen,Polo,1.2 MPI Comfortline,2011,"56,000 km",Petrol,Manual,Red,2nd,MH,Comprehensive,"₹ 2,70,000"
"Andheri East, Mumbai, Maharashtra",Mahindra,Scorpio,2002-2013 M2DI,2010,"76,045 km",Diesel,Manual,Grey,1st,MH,Third Party,"₹ 3,25,000"
"Andheri East, Mumbai, Maharashtra",Maruti Suzuki,Swift,VDI,2014,"70,145 km",Diesel,Manual,Grey,1st,MH,No Insurance,"₹ 4,95,402"
"Viman Nagar, Pune, Maharashtra",Skoda,Superb,2008-2013 1.8 TSI MT,2011,"80,000 km",Petrol,Manual,Bordeaux/Maroon,1st,MH,Comprehensive,"₹ 3,99,999"
"Paradise Colony, Amravati, Maharashtra",Hyundai,Fluidic Verna,1.6 CRDi SX,2013,"80,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,60,000"
"Vasai East, Mumbai, Maharashtra",Maruti Suzuki,Ciaz,Smart Hybrid Zeta,2017,"52,000 km",Diesel,Manual,Not Available,1st,Not Available,Comprehensive,"₹ 7,75,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Sangameshwar, Malegaon, Maharashtra",Hyundai,Elite i20,1.4 CRDI Asta (O),2017,"32,000 km",Diesel,Manual,White,1st,MH,Zero Dep,"₹ 8,30,000"
"Lower Parel, Mumbai, Maharashtra",Hyundai,Fluidic Verna,1.6 VTVT S,2012,"45,000 km",Petrol,Manual,White,1st,MH,No Insurance,"₹ 3,95,000"
"Borivali West, Mumbai, Maharashtra",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2017,"29,600 km",Petrol,Manual,Brown,1st,MH,No Insurance,"₹ 4,15,000"
"Versova, Mumbai, Maharashtra",Hyundai,Santro Xing,GLS,2012,"58,000 km",Petrol,Manual,Bordeaux/Maroon,2nd,MH,No Insurance,"₹ 1,85,000"
"Kandivali West, Mumbai, Maharashtra",Volkswagen,Polo,1.5 TDI Highline,2015,"70,000 km",Diesel,Manual,Other,1st,MH,No Insurance,"₹ 4,85,000"
"Bhandup East, Mumbai, Maharashtra",Mahindra,Scorpio,S2 9 Seater,2017,"40,123 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 9,49,999"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Teen Hath Naka, Thane, Maharashtra",Nissan,Terrano,XL D Option,2014,"59,000 km",Diesel,Manual,Champagne,1st,MH,Comprehensive,"₹ 4,79,000"
"Goregaon East, Mumbai, Maharashtra",Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2010,"60,000 km",Petrol,Manual,Gold,1st,Not Available,Comprehensive,"₹ 2,49,000"
"Lokhandwala Complex, Mumbai, Maharashtra",Maruti Suzuki,Ciaz,1.4 Alpha,2019,"7,000 km",Petrol,Manual,Grey,1st,MH,Comprehensive,"₹ 10,25,000"
"Katai N V, Thane, Maharashtra",Hyundai,Verna,CRDi 1.6 SX,2018,"24,000 km",Diesel,Automatic,White,1st,MH,Comprehensive,"₹ 11,90,000"
"Wakad, Pune, Maharashtra",Skoda,Laura,Laura 1.9 TDI AT Ambiente,2009,"123,000 km",Diesel,Automatic,White,1st,MH,Third Party,"₹ 3,33,000"
"Wakad, Pune, Maharashtra",Hyundai,Verna,Fluidic 1.6 CRDi SX,2018,"49,000 km",Diesel,Manual,White,1st,MH,Comprehensive,"₹ 10,75,000"
"Lower Parel, Mumbai, Maharashtra",Ford,Figo,2010-2012 Diesel ZXI,2010,"41,000 km",Diesel,Manual,Grey,1st,MH,No Insurance,"₹ 2,25,000"
"Sindi Batana Colony, Nagpur, Maharashtra",Tata,Indica Vista,2008-2013 Safire GLX,2010,"15,000 km",Petrol,Manual,Red,1st,MH,No Insurance,"₹ 1,59,000"
"Sindi Batana Colony, Nagpur, Maharashtra",Hyundai,Grand i10,2013-2016 Sportz,2016,"490,000 km",Petrol,Manual,Blue,1st,MH,No Insurance,"₹ 4,65,000"
"Jaripatka, Nagpur, Maharashtra",Honda,Accord,Accord 2.4 Automatic,2009,"64,000 km",Petrol,Automatic,Silver,2nd,MH,No Insurance,"₹ 3,10,000"
"Rasta Peth, Pune, Maharashtra",Hyundai,Grand i10,Magna 1.2 Kappa VTVT,2018,"34,056 km",Petrol,Manual,White,1st,MH,Comprehensive,"₹ 5,10,000"
"Aurangabad MIDC, Aurangabad, Maharashtra",Toyota,Innova Crysta,2.8 GX AT,2018,"64,765 km",Diesel,Automatic,White,1st,MH,Comprehensive,"₹ 18,25,000"
"Borivali West, Mumbai, Maharashtra",Renault,KWID,1.0 RXT AMT,2018,"7,500 km",Petrol,Automatic,Red,1st,MH,Comprehensive,"₹ 3,85,000"
"Jaripatka, Nagpur, Maharashtra",Skoda,Superb,2013-2015 Elegance 1.8 TSI MT,2011,"73,000 km",Petrol,Manual,Red,2nd,MH,No Insurance,"₹ 4,91,000"
"Hadapsar, Pune, Maharashtra",Maruti Suzuki,Wagon R,LXI CNG,2013,"58,000 km",CNG & Hybrids,Manual,Grey,1st,MH,Third Party,"₹ 3,75,000"
"Mumbai Central, Mumbai, Maharashtra",Toyota,Innova Crysta,2.7 GX AT 8S,2018,"23,000 km",Diesel,Automatic,Red,1st,MH,No Insurance,"₹ 19,17,000"
"Kalyan, Thane, Maharashtra",Hyundai,Santro Xing,GL,2008,"81,000 km",Petrol,Manual,Gold,3rd,MH,Third Party,"₹ 1,30,000"
"Kalyan, Thane, Maharashtra",Hyundai,i20,2010-2012 1.4 CRDi Magna,2012,"110,000 km",Diesel,Manual,White,3rd,MH,Third Party,"₹ 3,25,000"
"Dwarka, Nashik, Maharashtra",Honda,Amaze,VX CVT Diesel,2015,"75,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 5,21,000"
"Sangameshwar, Malegaon, Maharashtra",Hyundai,Creta,1.4 E Plus Diesel,2017,"32,000 km",Diesel,Manual,Silver,2nd,MH,Comprehensive,"₹ 9,70,000"
"Chembur, Mumbai, Maharashtra",Hyundai,i10,2007-2010 Magna 1.2,2012,"44,000 km",Petrol,Manual,Red,1st,MH,Not Available,"₹ 2,75,000"
"Gandhi Bagh, Nagpur, Maharashtra",Volkswagen,Polo,2013-2015 1.5 TDI Highline,2014,"65,289 km",Diesel,Manual,White,2nd,MH,Comprehensive,"₹ 3,80,000"
"Parijat Nagar Near Patel Colony, Nashik, Maharashtra",Hyundai,i20 Active,1.4 SX,2016,"61,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 6,95,000"
"Jaripatka, Nagpur, Maharashtra",Mahindra,XUV500,2011-2015 W6 2WD,2012,"95,522 km",Diesel,Manual,Grey,1st,MH,No Insurance,"₹ 5,40,000"
"Bezanbagh, Nagpur, Maharashtra",Maruti Suzuki,Wagon R,VXI 1.2,2015,"55,000 km",Petrol,Manual,Silver,2nd,MH,No Insurance,"₹ 3,85,000"
"Jaripatka, Nagpur, Maharashtra",Tata,Indica V2,DLS BSIII,2011,"75,000 km",Diesel,Manual,Silver,1st,MH,No Insurance,"₹ 1,39,000"
"Senapati Bapat Road, Pune, Maharashtra",Mercedes-Benz,CLA,200 CDI Sport,2018,"14,000 km",Diesel,Automatic,White,1st,MH,Not Available,"₹ 30,00,000"
"Vishrant Wadi, Pune, Maharashtra",Mahindra,Scorpio,2009-2014 EX,2014,"79,000 km",Diesel,Manual,White,1st,MH,Third Party,"₹ 6,00,000"
"Mumbai Central, Mumbai, Maharashtra",Maruti Suzuki,Ertiga,ZDI,2015,"70,000 km",Diesel,Manual,White,1st,MH,No Insurance,"₹ 7,99,000"
"Mumbai Central, Mumbai, Maharashtra",Hyundai,Creta,1.6 E Plus,2016,"48,403 km",Petrol,Manual,Silver,1st,MH,Comprehensive,"₹ 8,46,000"
"Sindhi Society, Mumbai, Maharashtra",Maruti Suzuki,Ertiga,SHVS VDI,2016,"73,000 km",Diesel,Manual,Gold,1st,MH,No Insurance,"₹ 7,75,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Rajouri Garden, Delhi, Delhi",Honda,Civic,1.8 S MT,2007,"80,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,50,000"
"Rajouri Garden, Delhi, Delhi",Honda,Amaze,Not Available,2013,"57,585 km",Diesel,Manual,White,Not Available,DL,Not Available,"₹ 3,20,000"
"Pitampura, Delhi, Delhi",Ford,Ecosport,Not Available,2017,"60,149 km",Diesel,Manual,Grey,Not Available,DL,Not Available,"₹ 6,35,000"
"Rohini Sector 2, Delhi, Delhi",Maruti Suzuki,Vitara Brezza,VDi AMT,2018,"29,000 km",Diesel,Automatic,Grey,1st,DL,No Insurance,"₹ 8,75,000"
"Pitampura, Delhi, Delhi",Hyundai,i20,Sportz Plus,2010,"56,000 km",CNG & Hybrids,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,35,000"
"Vikaspuri, Delhi, Delhi",Hyundai,Santro Xing,GL CNG BSIV,2012,"73,000 km",CNG & Hybrids,Manual,White,1st,DL,Comprehensive,"₹ 2,25,000"
"Paschim Vihar, Delhi, Delhi",Hyundai,i20,1.2 Era,2012,"46,100 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,65,000"
"Rajouri Garden, Delhi, Delhi",Ford,Ecosport,1.5 Diesel Trend,2015,"61,000 km",Diesel,Manual,Grey,1st,DL,Not Available,"₹ 5,45,000"
"Paschim Vihar, Delhi, Delhi",Mahindra,KUV 100,2016-2017 mFALCON D75 K6 Plus,2016,"58,500 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,20,000"
"Rajouri Garden, Delhi, Delhi",Ford,Ecosport,1.5 Diesel Trend,2015,"64,587 km",Diesel,Manual,Grey,1st,DL,Comprehensive,"₹ 5,45,000"
"Vikaspuri, Delhi, Delhi",Volkswagen,Polo,1.2 MPI Highline,2012,"74,000 km",Petrol,Manual,Red,1st,DL,Not Available,"₹ 3,15,000"
"Peera Garhi, Delhi, Delhi",Hyundai,i10,Magna 1.1L,2014,"54,000 km",Petrol,Manual,White,1st,DL,Comprehensive,"₹ 2,75,000"
"Paschim Vihar, Delhi, Delhi",Maruti Suzuki,Ertiga,VDI,2014,"46,500 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,65,000"
"Paschim Vihar, Delhi, Delhi",Maruti Suzuki,Ertiga,VXI CNG,2016,"53,000 km",CNG & Hybrids,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,50,000"
"Vikaspuri, Delhi, Delhi",Maruti Suzuki,Swift Dzire,VXI,2012,"72,000 km",CNG & Hybrids,Manual,White,1st,DL,Comprehensive,"₹ 3,50,000"
"Vikaspuri, Delhi, Delhi",Ford,Figo Aspire,1.5 TDCi Trend,2015,"88,000 km",Diesel,Manual,White,1st,DL,No Insurance,"₹ 3,50,000"
"Paschim Vihar, Delhi, Delhi",Hyundai,Accent,Executive CNG,2010,"54,000 km",CNG & Hybrids,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,65,000"
"Pitampura, Delhi, Delhi",Ford,Ecosport,1.0 Ecoboost Titanium Plus BE,2013,"47,100 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,10,000"
"Vikaspuri, Delhi, Delhi",Hyundai,i10,Sportz 1.1L,2014,"62,000 km",Petrol,Manual,Silver,1st,DL,No Insurance,"₹ 2,90,000"
"Vikaspuri, Delhi, Delhi",Maruti Suzuki,Wagon R,VXI,2013,"65,000 km",Petrol,Manual,Red,1st,DL,No Insurance,"₹ 2,70,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Rohini Sector 7, Delhi, Delhi",Mahindra,XUV500,2011-2015 W8-2WD,2013,"65,000 km",Diesel,Manual,Black,1st,DL,Comprehensive,"₹ 5,85,000"
"Rajouri Garden, Delhi, Delhi",Volkswagen,Polo,2009-2013 Diesel Trendline 1.2L,2011,"93,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,95,000"
"Vikaspuri, Delhi, Delhi",Maruti Suzuki,Swift,VXI Deca,2016,"31,000 km",Petrol,Manual,White,1st,DL,No Insurance,"₹ 4,50,000"
"Pitampura, Delhi, Delhi",Tata,Tiago,XZ Diesel,2018,"30,000 km",Diesel,Manual,Brown,1st,DL,No Insurance,"₹ 4,45,000"
"Pitampura, Delhi, Delhi",Honda,City,2015-2017 i VTEC VX,2015,"35,000 km",Petrol,Manual,Not Available,1st,DL,Comprehensive,"₹ 7,50,000"
"Pitampura, Delhi, Delhi",Kia,Seltos,HTK Plus D,2019,"25,000 km",Diesel,Manual,White,1st,DL,Comprehensive,"₹ 17,50,000"
"Usha Park, Delhi, Delhi",Mercedes-Benz,New C-Class,C 250 CDI Elegance,2012,"34,000 km",Diesel,Automatic,White,2nd,DL,No Insurance,"₹ 10,75,000"
"Rajouri Garden, Delhi, Delhi",Maruti Suzuki,Swift Dzire,ZXI Plus,2017,"27,000 km",Petrol,Manual,Blue,1st,DL,Comprehensive,"₹ 7,25,000"
"Rajouri Garden, Delhi, Delhi",Maruti Suzuki,SX4,ZXi,2008,"57,000 km",Petrol,Manual,Black,1st,DL,Comprehensive,"₹ 1,65,000"
"New Multan Nagar, Delhi, Delhi",Volkswagen,Vento,1.6 Highline,2011,"65,000 km",Petrol,Automatic,White,2nd,DL,Comprehensive,"₹ 2,98,000"
"Rajouri Garden, Delhi, Delhi",Skoda,Fabia,2008-2010 1.4 MPI Ambiente,2011,"56,000 km",Petrol,Manual,White,1st,DL,Not Available,"₹ 2,49,000"
"Rajouri Garden, Delhi, Delhi",Toyota,Corolla Altis,1.8 GL,2009,"65,000 km",Petrol,Manual,Silver,1st,DL,Not Available,"₹ 2,95,000"
"Vikaspuri, Delhi, Delhi",Maruti Suzuki,Swift,LDI Optional,2017,"48,000 km",Diesel,Manual,Grey,1st,DL,No Insurance,"₹ 4,50,000"
"Tilak Nagar, Delhi, Delhi",Hyundai,Elite i20,Sportz 1.2 Special Edition,2019,"34,129 km",Petrol,Manual,White,1st,HR,Not Available,"₹ 5,95,000"
"Tilak Nagar, Delhi, Delhi",Hyundai,i20,1.2 Spotz,2015,"26,000 km",Petrol,Manual,White,2nd,DL,Comprehensive,"₹ 5,25,000"
"Punjabi Bagh West, Delhi, Delhi",Hyundai,i10,1.2 Kappa Magna,2010,"63,589 km",Petrol,Manual,Grey,1st,DL,Comprehensive,"₹ 2,00,000"
"Subhash Nagar, Delhi, Delhi",Mahindra,Thar,CRDE 4X4 BS IV,2019,"6,600 km",Diesel,Manual,Black,1st,DL,Comprehensive,"₹ 9,99,999"
"Subhash Nagar, Delhi, Delhi",Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2017,"71,000 km",Diesel,Manual,Blue,1st,DL,Not Available,"₹ 6,75,000"
"Pitampura, Delhi, Delhi",Mahindra,XUV500,2011-2015 W6-2WD,2013,"78,000 km",Diesel,Manual,Grey,1st,DL,No Insurance,"₹ 5,60,000"
"Pitampura, Delhi, Delhi",Maruti Suzuki,Vitara Brezza,Not Available,2016,"62,704 km",Diesel,Manual,Red,Not Available,DL,Not Available,"₹ 7,14,000"
"Keshopur, Delhi, Delhi",Mercedes-Benz,GL-Class,Grand Edition Luxury,2013,"64,000 km",Diesel,Automatic,Silver,1st,DL,No Insurance,"₹ 31,50,000"
"Vikaspuri, Delhi, Delhi",Mahindra,Thar,Others,2021,"7,500 km",Diesel,Automatic,Grey,1st,UK,Zero Dep,"₹ 18,50,000"
"Vikaspuri, Delhi, Delhi",Mahindra,XUV500,2011-2015 W8 2WD,2014,"80,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 5,99,999"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Tilak Nagar, Delhi, Delhi",Maruti Suzuki,Ritz,VDi,2013,"68,000 km",Diesel,Manual,Silver,1st,DL,Not Available,"₹ 2,60,000"
"Tilak Nagar, Delhi, Delhi",Hyundai,i20,Magna Plus,2013,"66,000 km",Petrol,Manual,Grey,1st,DL,Not Available,"₹ 3,50,000"
"Pitampura, Delhi, Delhi",Hyundai,Verna,2011-2014 1.6 SX VTVT (O),2012,"65,000 km",Petrol,Manual,Other,1st,HR,Comprehensive,"₹ 4,50,000"
"Rohini Sector 4, Delhi, Delhi",Hyundai,Creta,1.6 VTVT SX Plus Dual Tone,2017,"60,000 km",Petrol,Manual,White,1st,HR,No Insurance,"₹ 9,80,000"
"Pitampura, Delhi, Delhi",Mahindra,XUV500,W7,2018,"15,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 13,85,000"
"Rajouri Garden, Delhi, Delhi",Mitsubishi,Pajero Sport,Pajero Sport 4X2 Automatic,2015,"50,000 km",Diesel,Automatic,White,2nd,DL,No Insurance,"₹ 13,80,000"
"Pitampura, Delhi, Delhi",Hyundai,Grand i10,1.2 CRDi Sportz,2013,"65,000 km",Diesel,Manual,Silver,1st,DL,Comprehensive,"₹ 3,15,000"
"Tilak Nagar, Delhi, Delhi",Renault,Duster,110PS Diesel RxZ,2014,"79,000 km",Diesel,Manual,Silver,1st,DL,Not Available,"₹ 4,90,000"
"Tilak Nagar, Delhi, Delhi",Mercedes-Benz,A Class,A 180 CDI Style,2014,"72,000 km",Diesel,Automatic,White,1st,DL,Not Available,"₹ 10,85,000"
"Rajouri Garden, Delhi, Delhi",Toyota,Fortuner,3.0 4x2 Automatic,2013,"130,000 km",Diesel,Automatic,Silver,3rd,DL,Comprehensive,"₹ 11,90,000"
"Rajouri Garden, Delhi, Delhi",Hyundai,Grand i10,Magna 1.1 CRDi,2015,"78,000 km",Diesel,Manual,Grey,3rd,DL,Comprehensive,"₹ 3,25,000"
"Peera Garhi, Delhi, Delhi",Maruti Suzuki,A-Star,Vxi,2013,"58,000 km",Petrol,Manual,Grey,1st,HR,Comprehensive,"₹ 2,25,000"
"Peera Garhi, Delhi, Delhi",Ford,Ecosport,Not Available,2014,"53,000 km",Diesel,Not Available,Silver,Not Available,DL,Not Available,"₹ 5,25,000"
"Tilak Nagar, Delhi, Delhi",Audi,Q7,3.0 TDI quattro,2010,"83,000 km",Diesel,Automatic,Blue,1st,DL,Not Available,"₹ 11,85,000"
"Pitampura, Delhi, Delhi",Honda,Amaze,S i-VTEC,2017,"38,000 km",Petrol,Manual,Red,2nd,DL,No Insurance,"₹ 4,75,000"
