location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Barsapara, Guwahati, Assam",Hyundai,Santro,Sportz AMT,2019,"12,853 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 4,70,000"
"Mirihula Block, Moran Town, Assam",Maruti Suzuki,Ritz,Genus VDi,2011,"85,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,75,000"
"Babupatty, Jorhat, Assam",Renault,Duster,2015-2016 110PS Diesel RXZ Option,2017,"57,000 km",Diesel,Manual,Silver,1st,AS,Zero Dep,"₹ 7,25,000"
"Durga Sarovar, Guwahati, Assam",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2015,"60,000 km",Petrol,Manual,Silver,1st,AS,Comprehensive,"₹ 3,80,000"
"Kachujan Gaon, Tinsukia, Assam",Hyundai,EON,Magna +,2016,"50,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,50,000"
"No 2 Bharali Chuk, Dhemaji, Assam",Other Brands,Others,Not Available,2019,"12,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Ulubari, Guwahati, Assam",Fiat,Punto,Punto Emotion 1.2,2011,"50,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,45,000"
"Pani Gaon, Nagaon, Assam",Maruti Suzuki,800,EX,1999,"67,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 42,500"
"Jyotikuchi, Guwahati, Assam",Maruti Suzuki,Wagon R,1999-2006 VXI,2001,"117,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 90,000"
"Amolapatty, Nagaon, Assam",Toyota,Etios,1.5 G,2012,"65,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,80,000"
"Fatasil Ambari, Guwahati, Assam",Mahindra,TUV 300,T8,2017,"33,253 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,90,000"
"Kamar Gaon, Nagaon, Assam",Hyundai,Santro Xing,XG AT eRLX Euro II,2004,"35,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,45,000"
"Six Mile, Guwahati, Assam",Tata,Tiago,1.2 Revotron XT,2017,"19,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,95,000"
"Kathalguri, Salakati, Assam",Chevrolet,Spark,Others,2010,"56,300 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 98,000"
"Bhakatpur Village, Silchar, Assam",Maruti Suzuki,Others,Others,2006,"100,000 km",Petrol,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 80,000"
"Bam Parbatia, Tezpur, Assam",Maruti Suzuki,Alto K10,VXI,2019,"17,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,50,000"
"Rangauti Part 1, Hailakandi, Assam",Maruti Suzuki,Alto 800,LXI,2017,"49,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,55,000"
"Adabari, Guwahati, Assam",Hyundai,Grand i10,1.2 CRDi Sportz,2014,"103,000 km",Diesel,Manual,Champagne,1st,AS,Comprehensive,"₹ 2,65,000"
"Dispur, Guwahati, Assam",Mahindra,Bolero,2001-2010 SLX,2014,"81,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
"Chiristian Basti, Guwahati, Assam",Maruti Suzuki,Swift Dzire,VDI,2013,"68,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,94,000"
"Sunpora Gohain, Nazira, Assam",Maruti Suzuki,Alto,2005-2010 LX BSIII,2009,"60,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,75,000"
"Rupnagar, Lanka, Assam",Maruti Suzuki,Ritz,VDi,2011,"88,000 km",Diesel,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 1,80,000"
"Polo Field, Tezpur, Assam",Tata,Sumo Gold,Gold CX,2018,"51,000 km",Diesel,Manual,White,1st,AR,Comprehensive,"₹ 4,95,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,800,Std BSIII,2006,"91,000 km",Petrol,Manual,Red,1st,AS,Comprehensive,"₹ 1,40,000"
"Durga Sarovar, Guwahati, Assam",Maruti Suzuki,Eeco,5 STR WITH A/C+HTR,2019,"20,000 km",Petrol,Manual,Silver,1st,AS,Not Available,"₹ 4,15,000"
"Rehabari, Guwahati, Assam",Renault,KWID,1.0 RXT,2018,"37,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,50,000"
"Sadharu Ghop, Biswanath Chariali, Assam",Mahindra,Scorpio,2002-2013 LX,2011,"109,283 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
"Amolapatty, Sibsagar, Assam",Maruti Suzuki,Wagon R,VXI AMT,2017,"21,335 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 4,05,000"
"Buribali Part 3, Hindustan Paper Corporation Ltd Township Panchgram, Assam",Maruti Suzuki,Alto,2005-2010 STD,2010,"105,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,10,000"
"Deodhai, Nazira, Assam",Hyundai,Creta,1.4 S,2016,"55,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 7,50,000"
"Silapathar, Assam, India",Renault,KWID,1.0 RXT,2018,"52,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,20,000"
"Bapuji Nagar, Jorhat, Assam",Hyundai,Grand i10,1.2 Kappa Era,2013,"37,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,49,000"
"Kokrajhar Gaon, Kokrajhar, Assam",Dc,Others,Others,1935,"1,935 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,50,000"
"Pator Kuchi, Guwahati, Assam",Other Brands,Others,Not Available,2016,"95,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,50,000"
"Kamakhya Nagar, Guwahati, Assam",Hyundai,i10,Era,2008,"84,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,50,000"
"Maz Putani, Nagaon, Assam",Tata,Indigo Ecs,eCS LX CR4 BS-IV,2012,"100,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,10,000"
"Lachat Nagar, Guwahati, Assam",Maruti Suzuki,Alto,LXi,2011,"45,660 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,90,000"
"Boladmari, Goalpara, Assam",Mahindra,Scorpio,2002-2013 LX,2009,"150,000 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 2,45,000"
"Amolapatti, Dibrugarh, Assam",Tata,Others,Others,2012,"70,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,80,000"
"Lakhipur Bazaar, Lakhipur Cachar District, Assam",Maruti Suzuki,Others,Others,2016,"75,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,40,000"
"Morankari Gaon, Tinsukia, Assam",Maruti Suzuki,800,AC,2003,"80,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 75,000"
"Bhetapara, Guwahati, Assam",Hyundai,Verna,2011-2014 1.6 VTVT,2013,"95,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,30,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Swift,VXI,2015,"43,000 km",Petrol,Manual,Other,1st,AS,Comprehensive,"₹ 4,35,000"
"Hatigaon, Guwahati, Assam",Maruti Suzuki,Ertiga,2012-2015 VDI,2012,"63,000 km",Diesel,Manual,Blue,1st,AS,Comprehensive,"₹ 4,75,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,800,AC,2013,"9,700 km",Petrol,Manual,Silver,1st,AR,Comprehensive,"₹ 1,55,000"
"Jayanagar, Duliajan, Assam",Maruti Suzuki,Zen,LX,2003,"65,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,90,000"
"Christanpatty, Nagaon, Assam",Tata,Others,Not Available,2018,"59,491 km",Diesel,Not Available,White,1st,AS,Comprehensive,"₹ 5,80,000"
"Tipuk T E 100 Fs, Makum Tinsukia District, Assam",Mahindra,XUV500,W8 2WD,2013,"68,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 7,65,000"
"Rangauti Part 2, Hailakandi, Assam",Hyundai,Santro Xing,GL,2011,"65,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,70,000"
"Kastubra Nagar, Guwahati, Assam",Ford,Figo Aspire,1.5 TDCi Trend,2019,"50,500 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
"Ambica Patty, Silchar, Assam",Maruti Suzuki,Ciaz,1.3 Alpha,2019,"4,700 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 8,80,000"
"Silapathar, Assam, India",Tata,Others,Others,2018,"12,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,10,000"
"Dakhin Bidyanagar, Hojai, Assam",Maruti Suzuki,Alto,LX BS-IV,2019,"9,800 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,25,000"
"Athgaon, Guwahati, Assam",Tata,Nano,2012-2015 CNG LX,2013,"69,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 68,000"
"Borjari Gaon, Jamunamukh, Assam",Mahindra,Xylo,2012-2014 E8 ABS BS III,2012,"60,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,80,000"
"Phakali Pathar, Nagaon, Assam",BMW,Others,Others,2010,"100,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 12,50,000"
"Amolapatty, Nagaon, Assam",Maruti Suzuki,Swift,ZDi,2016,"70,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,20,000"
"Vophong Tokbi, Dokmoka, Assam",Maruti Suzuki,Swift,2004-2010 VDI BSIV,2007,"45,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,90,000"
"Bongal Gaon, Dergaon, Assam",Tata,Indigo Ecs,2008-2012 LX (TDI) BS III,2013,"70,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,25,000"
"Badal Gaon, Nagaon, Assam",Maruti Suzuki,Alto,Std,2012,"67,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,63,000"
"Dewri Gaon, Nagaon, Assam",Maruti Suzuki,Alto 800,LX,2006,"52,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,95,000"
"Gurunanak Nagar, Bongaigaon, Assam",Mahindra,Bolero,ZLX,2016,"10,500 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 5,60,000"
"Hatigaon, Guwahati, Assam",Maruti Suzuki,Alto K10,VXI,2018,"13,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 3,60,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Omni,MPI STD BSIV,2017,"25,000 km",Petrol,Manual,Silver,1st,AS,Comprehensive,"₹ 2,90,000"
"Chalakataki No 2, Duliajan, Assam",Nissan,Terrano,XL (D),2015,"105,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,80,000"
"Nalapara, Guwahati, Assam",Mahindra,Bolero,ZLX,2016,"160,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,50,000"
"Kharija Dholaigaon, Bongaigaon, Assam",Maruti Suzuki,Wagon R,2010-2012 LX BSII,2008,"58,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,80,000"
"Japorigog, Guwahati, Assam",Maruti Suzuki,Alto K10,K10 VXi (O),2014,"70,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,70,000"
"Six Mile, Guwahati, Assam",Hyundai,i10,1.2 Kappa Magna,2010,88 km,Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,10,000"
"Kahi Kuchi, Azara, Assam",Hyundai,i10,Era,2013,"68,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,80,000"
"Tarphat, Golaghat, Assam",Tata,Nano,2009-2011 Cx,2011,"70,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 48,000"
"Buribali Part 3, Hindustan Paper Corporation Ltd Township Panchgram, Assam",Tata,Others,Others,2019,"12,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,70,000"
"New Railway Colony, Guwahati, Assam",Maruti Suzuki,Swift Dzire,VXI,2017,"45,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,50,000"
"Lokhra, Guwahati, Assam",Mahindra,Bolero,ZLX,2016,"60,000 km",Diesel,Manual,White,1st,AS,Comprehensive,"₹ 6,55,000"
"Maj Gaon, Tezpur, Assam",Hyundai,i10,1.2 Kappa SPORTZ,2011,"46,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,50,000"
"Resham Nagar, Guwahati, Assam",Maruti Suzuki,Swift Dzire,LXI,2010,"86,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,00,000"
"Bhalukdubi, Goalpara, Assam",Hyundai,EON,Magna +,2012,"62,138 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,00,000"
"South Amolapatty, Dibrugarh, Assam",Hyundai,EON,Era +,2015,23 km,Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,20,000"
"Amguri, Bongaigaon, Assam",Maruti Suzuki,Swift Dzire,VDI,2016,"68,839 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,60,000"
"Champak Nagar, Hailakandi, Assam",Tata,Others,Others,2018,"27,456 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,90,000"
"Dhobartari, Changsari, Assam",Toyota,Innova,Others,2008,"198,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,20,000"
"Haibargaon, Nagaon, Assam",Maruti Suzuki,Swift Dzire,VXI,2018,"46,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,00,000"
"Six Mile, Guwahati, Assam",Ford,Figo,1.2 Trend Plus MT,2017,"38,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,00,000"
"Jalukbari, Guwahati, Assam",Hyundai,EON,Magna +,2011,"55,000 km",Petrol,Manual,Silver,1st,AS,Not Available,"₹ 1,99,000"
"Polo Field, Tezpur, Assam",Mahindra,XUV300,W4,2019,"25,000 km",Petrol,Manual,White,1st,AR,Comprehensive,"₹ 7,35,000"
"MilonPur, Nagaon, Assam",Hyundai,i20,1.2 Spotz,2015,"89,555 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,80,000"
"Barbheti, Nagaon, Assam",Fiat,Punto,Active 1.3,2012,"50,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,20,000"
"Bali Chapari, Tezpur, Assam",Hyundai,EON,Magna +,2014,"17,120 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,25,000"
"Parakuchi, Sanpara, Assam",Tata,Indica V2,DL BSIII,2005,"31,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 60,000"
"Chota Haibor, Nagaon, Assam",Chevrolet,Enjoy,2013-2015 TCDi LS 8 Seater,2015,"55,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,60,000"
"Bherbheri, Nagaon, Assam",Hyundai,EON,D Lite,2011,"36,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,20,000"
"Forest Colony, Diphu, Assam",Maruti Suzuki,Zen Estilo,1.1 LXI BSIII,2010,"57,706 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,80,000"
"Nui Colony, Diphu, Assam",Ford,Figo,2010-2012 Diesel Titanium,2012,"151,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,70,000"
"Sankar Dev Nagar, Pub Dhaniram Pather, Assam",Maruti Suzuki,Alto K10,K10 VXi (O),2017,"55,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 2,50,000"
"Mission Chariali Ketekibari, Tezpur, Assam",Hyundai,i10,1.2 Kappa Magna,2012,"56,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,40,000"
"Fakial Gaon No 2, Margherita, Assam",Maruti Suzuki,800,Others,2002,"74,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Chatibor Gaon, Bongaigaon RPCL Township, Assam",Maruti Suzuki,Alto,2000-2005 LX,2004,"100,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,30,000"
"Chapaguri, Bongaigaon, Assam",Hyundai,Grand i10,1.2 Kappa Sportz,2017,"94,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,90,000"
"Sarusajai, Guwahati, Assam",Tata,Others,Others,2017,"109,500 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,87,000"
"Sankar Dev Nagar, Pub Dhaniram Pather, Assam",Chevrolet,Beat,2010-2013 Diesel LS,2012,"70,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,30,000"
"Meherpur Beltala, Silchar, Assam",Hyundai,i10,1.1L iRDE ERA Special Edition,2012,"52,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,30,000"
"Uttar Salmara Part 1, Abhayapuri, Assam",Maruti Suzuki,A-Star,Vxi,2012,"49,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,80,000"
"Durga Sarovar, Guwahati, Assam",Hyundai,i10,Sportz,2010,"55,000 km",Petrol,Manual,White,2nd,AS,Comprehensive,"₹ 2,20,000"
"Durga Sarovar, Guwahati, Assam",Mahindra,Scorpio,S10,2015,"105,000 km",Diesel,Manual,White,1st,AS,Comprehensive,"₹ 9,00,000"
"Khanapara, Guwahati, Assam",Honda,City,i-DTEC VX,2014,"124,000 km",Diesel,Manual,Champagne,1st,Not Available,Not Available,"₹ 5,65,000"
"Mayapuri, Bongaigaon, Assam",Maruti Suzuki,Swift Dzire,VDI,2010,"60,360 km",Diesel,Manual,Not Available,4+,Not Available,Not Available,"₹ 2,20,000"
"Kahilpara, Guwahati, Assam",Renault,Duster,110PS Diesel RxL,2015,"80,000 km",CNG & Hybrids,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,60,000"
"Borbari, Guwahati, Assam",Chevrolet,Beat,Not Available,2014,"44,000 km",Petrol,Not Available,White,Not Available,Not Available,Not Available,"₹ 1,90,000"
"Pani Gaon, Nagaon, Assam",Other Brands,Others,Not Available,2018,"3,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,40,000"
"Kukurakata, Tangla, Assam",Mahindra,Others,Others,2015,445 km,Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 2,80,000"
"Borhai Chuburi, Tezpur, Assam",Maruti Suzuki,Vitara Brezza,ZDi Plus,2020,"19,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 9,80,000"
"Dalgaon, Mangaldoi, Assam",Tata,Manza,"Manza Aura (ABS), Quadrajet BS-IV",2011,"119,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,49,000"
"Phaltu Gaon, Margherita, Assam",Tata,Indigo XL,Classic Dicor,2008,"90,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 80,000"
"Mangaldoi Industrial Area, Mangaldoi, Assam",Maruti Suzuki,Swift,VXi + Manual,2018,"52,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,55,000"
"Dispur, Guwahati, Assam",Maruti Suzuki,Alto 800,2012-2016 LXI,2013,"68,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,20,000"
"Jengonikatia, Sibsagar, Assam",Maruti Suzuki,800,EX,2000,"75,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 80,000"
"Islampur, Guwahati, Assam",Ford,Figo Aspire,1.2 Ti-VCT Titanium Plus,2015,"34,300 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,10,000"
"Gohain Handique, Nazira, Assam",Tata,Others,Others,2013,"111,111 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,30,000"
"Rangauti Part 2, Hailakandi, Assam",Other Brands,Others,Not Available,2017,"50,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,60,000"
"Ahuchaul Konwar, North Lakhimpur, Assam",Hyundai,i10,1.2 Kappa SPORTZ,2016,"23,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,00,010"
"Notun Basti, Laharijan Natun Bosti, Assam",Datsun,Redi Go,Others,2017,"27,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,90,000"
"Purbagool, Hailakandi, Assam",Maruti Suzuki,Alto 800,2012-2016 CNG LXI,2014,"10,000 km",Petrol,Automatic,Not Available,4th,Not Available,Not Available,"₹ 1,75,000"
"Hatigaon, Guwahati, Assam",Hyundai,i10,1.2 Kappa Magna,2010,"58,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 2,40,000"
"Durga Sarovar, Guwahati, Assam",Maruti Suzuki,Swift Dzire,VXI 1.2,2015,"33,000 km",Petrol,Manual,White,1st,AS,Comprehensive,"₹ 4,60,000"
"Vartak Enclave, Tezpur, Assam",Maruti Suzuki,Swift Dzire,VXI,2017,"27,000 km",Petrol,Manual,Silver,1st,AS,Comprehensive,"₹ 6,35,000"
"Doomdooma Pathar Gaon, Doom Dooma, Assam",Tata,Others,Others,2016,"40,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,00,000"
"Bherbheri, Nagaon, Assam",Tata,Safari,Others,2011,"91,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,10,000"
"Dispur, Guwahati, Assam",Ford,Ecosport,1.5 Diesel Titanium,2015,"61,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,25,000"
"Mission Chariali Ketekibari, Tezpur, Assam",Tata,Others,Others,2017,"61,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,85,000"
"Amolapatty Gaon, Golaghat, Assam",Maruti Suzuki,800,Others,2001,"40,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 40,000"
"Bandardewa IID, Assam, India",Tata,Others,Others,2014,"100,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,60,000"
"Garhali, Jorhat, Assam",Chevrolet,Aveo,1.4 LT with ABS,2009,"120,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,95,000"
"Bori Gaon, Jorhat, Assam",Maruti Suzuki,Estilo,LXI,2010,"78,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,50,000"
"Kaliapani Vill N C, Doom Dooma, Assam",Mahindra,XUV500,W10 AWD,2018,"34,500 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 16,50,000"
"Ambari, Guwahati, Assam",Hyundai,Santro,LS zipPlus,2003,"74,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,25,000"
"Patni, Niz Hajo, Assam",Tata,Indica Vista,2008-2013 TDI LX,2011,"65,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 98,000"
"Borbari, Guwahati, Assam",Mahindra,Scorpio,2002-2013 VLX,2013,"120,000 km",Petrol,Manual,White,1st,AS,Zero Dep,"₹ 6,25,000"
"Dulia Gaon, Jorhat, Assam",Maruti Suzuki,800,Std,2000,"36,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 57,000"
"Six Mile, Guwahati, Assam",Hyundai,Verna,2011-2014 1.6 SX,2013,"62,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 5,30,000"
"Aironjangla Part 2, Jhagra Pt III, Assam",Mahindra,Bolero,2001-2010 SLX 2WD BSIII,2007,"90,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Galiahat, Barpeta, Assam",Tata,Indigo CS,CS LE TDI,2008,"37,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,30,000"
"Accounts And Medical Colony, Lumding, Assam",Maruti Suzuki,Celerio,2014-2017 ZXI,2017,"75,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,75,000"
"Sonali Jyanti Nagar, Jorhat, Assam",Ford,Figo,1.2P Trend MT,2016,"60,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,50,000"
"Dhakota, Jorhat, Assam",Maruti Suzuki,Omni,BSIII 8-STR W/ IMMOBILISER,2018,"15,300 km",Petrol,Manual,Blue,1st,AS,Comprehensive,"₹ 3,05,000"
"Hatigaon, Guwahati, Assam",Tata,Others,Not Available,2016,"150,000 km",Diesel,Manual,White,1st,AS,Comprehensive,"₹ 13,75,000"
"Bherbheri, Nagaon, Assam",Tata,Safari,Others,2011,"91,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,10,000"
"Khanamukh, Dharapur, Assam",Tata,Indica Vista,2008-2013 TDI LX,2012,"55,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 75,000"
"Alubari Gaon No 2, Margherita, Assam",Maruti Suzuki,800,AC,2008,60 km,Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 75,000"
"Amolapatty, Nagaon, Assam",Hyundai,EON,Magna +,2019,"9,000 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,87,000"
"Zoo Tiniali, Guwahati, Assam",Honda,Brio,1.2 S MT,2014,"83,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,75,000"
"Numaligarh Block, Numaligarh Refinery Township, Assam",Tata,Indica Vista,2008-2013 TDI LX,2013,"96,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,25,000"
"Uttar Bidyanagar, Hojai, Assam",Hyundai,Creta,1.6 CRDi SX Plus Dual Tone,2016,"64,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 8,90,000"
"RBI Colony, Guwahati, Assam",Maruti Suzuki,Swift Dzire Tour,LDI,2018,"85,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,05,000"
"Uzan Bazar, Guwahati, Assam",Toyota,Innova,2.5 G (Diesel) 7 Seater BS-IV,2015,"270,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 8,00,000"
"Adabari, Guwahati, Assam",Maruti Suzuki,S-Cross,Zeta 1.3,2018,"55,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,65,000"
"Sankarpur, Guwahati, Assam",Maruti Suzuki,Swift Dzire Tour,LDI,2016,"218,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,50,000"
"Haibargaon, Nagaon, Assam",Maruti Suzuki,Swift Dzire,VDI,2017,"106,200 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,30,000"
